code	label	notes	old_code	purpose	collection_day	collection_month	collection_year	death_date	sex_code	refrigerator	tray	row	column	location_code	location	genus	species	country	province	latitude	longitude	elevation	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron
INBUCR0311	C311	COSTA RICA. Prov. Limón. Veragua Rainforest, carretera. 429 m. 26-28 JUL 2010. R. Villalobos. Colecta Libre. L_N_212301_624710 #101098 INB0004275186 INBIOCRI COSTA RICA	INB0004275186		26	7	2010								Veragua Rainforest, carretera.			Costa Rica	Limón			429							
INBUCR0312	C312	COSTA RICA. Prov Limón. Sector La Catarata. Orilla de la carretera. 1450 m. MAY1996. R. Delgado. En Flores de Sauravia. L_N_190750_560600 #50826. En Flores de sauravia. INB0003014863 INBIOCRI  COSTA RICA	INB0003014863			5	1996								Sector La Catarata. Orilla de la carretera.			Costa Rica	Limón			1450							
INBUCR0313	C313	COSTA RICA. Prov. Cartago. Sector La Catarata. Orilla de la carretera. 1450 m. MAY 1998. R. Delgado. En Flores de Sauravia. L_N_190750_560600 #50826. En Flores de Sauravia. INB0003014864 INBIOCRI COSTA RICA. Sin élitros. Macraspis hirtiventris diurna	INB0003014864	Élitro derecho y mitad de élitro izquierdo, negros, en bolsa para medicion transflectancia y reflectancia.		5	1998								Sector La Catarata. Orilla de la carretera.	Macraspis	hirtiventris	Costa Rica	Cartago			1450							
INBUCR0314	C314	Ptenomela gratiosa. Estac. Pitilla, 700 m. 9 km S Santa Cecilia Guanacaste.  Pr. COSTA RICA 21 MAR -  21 APR 1989. GNP Blod Sur. 330200, 380200. INBIOCRI001036310. Sin élitro derecho	INBIOCRI001036310	Élitro derecho en bolsa para mediciones de transflectancia y transmitancia. 	21	3	1989								Santa Cecilia Guanacaste Estac. Pitilla,	Ptenomela	gratiosa	Costa Rica	Guanacaste			700							
INBUCR0315	C315	COSTA RICA, Prov. Puntarenas, Finca La Neblina de Willian Gamboa Elizondo. 1960 m. 10 ABR 1998. B. Gamboa. L_S_318500_600200 #50708. INBIOCRI002418000	INBIOCRI002418000		10	4	1998								Finca La Neblina de Willian Gamboa Elizondo			Costa Rica	Puntarenas			1960							
INBUCR0321	C321	COSTA RICA, Prov. Guanacaste. Sector Santa María, 25 km al NE. de Liberia. 790 m. 9-27 OCT 1996. D. Briceño. Foso L_N_304700_393450 #44748. INBIOCRI002492827. Sin cabeza. (Aparentemente Phanaeus pyrois)	INBIOCRI002492827		9	10	1996								Sector Santa María, 25 km al NE. de Liberia.	Phanaeus	pyrois	Costa Rica	Guanacaste			790							
INBUCR0322	C322	Color verde rojizo iridiscente. Sin élitros. 1 elitro para mediciones de transflectancia y transmitancia. 																											
INBUCR0323	C323	Phan. pyrois malyi n. ssp P. ARNAUD DET 2002 PARATYPE MALE. Est. Quebrada Bonita, R.B. Carara. Prov. Puntarenas, COSTA RICA.50 m. SET 1994. J. C. Saborío. L_N_194500_469850 #3203. INBIOCRI002109381	INBIOCRI002109381			9	2002								Est. Quebrada Bonita, R.B. Carara	Phanaeus	pyrois	Costa Rica	Puntarenas			50							
INBUCR0324	C324	COSTA RICA. Prov. Guanacaste. Sector Santa María, 25 km al NE. de Liberia. 790 m. 9-27 OCT 1996. D. Briceño. Foso. L_N_304700_393450 #44748. INBIOCRI002492828.  (Aparentemente Phanaeus pyrois)	INBIOCRI002492828		9	10	1996								. Sector Santa María, 25 km al NE. de Liberia.	Phanaeus	pyrois	Costa Rica	Guanacaste			790							
INBUCR0325	C325	Estacion Cuatro Esquinas. P. N. Tortuguero. Prov. Limón, COSTA RICA, 1 m. Jul 1993. R. Delgado. L. N. 280000_590500. #2247. INBIOCRI001930356	INBIOCRI001930356			7	1993								Estacion Cuatro Esquinas. P. N. Tortuguero.			Costa Rica	Limón			1							
INBUCR0331	C331	COSTA RICA.  Prov Puntarenas. Finca La Neblina de Willian Gamboa Elizondo. 1960 m. 10 ABR 1998. B. Gamboa. L_S_318500_600200 #50708. INBIOCRI002417996	INBIOCRI002417996		10	4	1998								Finca La Neblina de Willian Gamboa Elizondo.			Costa Rica	Puntarenas			1960							
INBUCR0411	C411	Chrysina chalcothea Det: A Solís. INB0003489977 INBIOCRI COSTA RICA. COSTA RICA. Prov Cartago. R. F. Río Macho. Alrededor Estación la Esperanza. 2650 m. 26-29 MAY 2002, R. González. Luz ambiente L_N_185600_550000 #69624. Sin élitros. Élitro derecho en un vial sin un cuadrito. 	INB0003489977		26	5	2002		M						R. F. Río Macho. Alrededor Estación la Esperanza.	Chrysina	chalcothea	Costa Rica	Cartago			2650							
INBUCR0412	C412	R. B Hitoy Cerere, Valle La Estrella. Prov. Limón. COSTA RICA. 100m. 19 a 29 Abr 1992. E. López. L_N 643400_184600 #1443. INBIOCRI001716561. (Aparentemente Phanaeus pyrois). Sin cabeza	INBIOCRI001716561		19	4	1992								R. B Hitoy Cerere, Valle La Estrella.	Phanaeus	pyrois	Costa Rica	Limón			100							
INBUCR0413	C413	Chrysina batesi. Det: A. Solís. COSTA RICA. Prov. Limón. P. I. La Amistad. Est Valle del Silencio. 2475 m. 26-30 MAR 2003. R. Delgado. M. Alfaro. R. González. D. Rubí. Tp de Luz. L_S_340258_577465 #73640. INB0003714895. INBIOCRI COSTA RICA. Falta élitro izquierdo.	INB0003714895		26	3	2003		M						P. I. La Amistad. Est Valle del Silencio.	Chrysina	batesi	Costa Rica	Limón			2475							
INBUCR0414	C414	Chrysina optima. Det: A. Solís. COSTA RICA. Prov. Cartago, R. Grande de Orosi, desde Puente R. Dos Amigos hasta la Represa. 1400-1800m. NOV 1997. R. Delgado. Trampa de Luz. L_N_186600_562000 #48891. INBIOCRI002596554. Falta élitro izquierdo. 	INBIOCRI002596554			11	1997		F						R. Grande de Orosi, desde Puente R. Dos Amigos hasta la Represa.	Chrysina	optima	Costa Rica	Cartago			1400							
INBUCR0415	C415	Verde rojo iridiscente. Sin élitro izquierdo. 																											
INBUCR0416	C416	COSTA RICA. Prov . Alajuela. San Ramón. Reserva Biol. Alberto Brenes. Río San Lorencito. 850 m. 30 JUN DE 1999. W. Porras. Manual ( red, libre) L_N_245500_470800 #53846. Sin élitros. INB0003049590 INBIOCRI COSTA RICA.	INB0003049590		30	6	1999		M						San Ramón. Reserva Biol. Alberto Brenes. Río San Lorencito.	Chrysina	bruyeai	Costa Rica	Alajuela			850							
INBUCR0421	C421	Chrysina optima. La Catarata. P. N. Tapantí, Prov. Cartago. COSTA RICA. 1700 m. Ago 1994. G. Mora, L_N_190900_560300 #3183. INBIOCRI002037917	INBIOCRI002037917			8	1994		F						La Catarata. P. N. Tapantí,	Chrysina	optima	Costa Rica	Cartago			1700							
INBUCR0422	C422	Chrysina chrysargyrea. Det: A. Solís. COSTA RICA.  Prov. Guanacaste. A.C.G. Liberia. P. N. Gte. Est Mengo. Volcán Cacao. Bque Primario. 1000 m. 3-6 JUL 1987. Junzen. Manual. L_N_322740-375198 #52577. INB0003358370. INBIOCRI COSTA RICA. Sin élitro izquierdo. Codigo aparece en vial, pero no está adentro. 	INB0003358370		3	7	1987		M						P. N. Gte. Est Mengo. Volcán Cacao. Bque Primario	Chrysina	chrysargyrea	Costa Rica	Guanacaste			1000							
INBUCR0423	C423	Chrysina aurora. Det: A. Solís. R. San Lorencito, 900 m. R. F. San Ramón, 5 km N de Colonia Palmareña. Prov Alajuela. COSTA RICA. 13-18 Jun 1993. I Curso Scarabaeidae. L-N-244500, 470700. INBIOCRI00139214	INBIOCRI001392214		13	6	1993		M						R. San Lorencito, 5 km N de Colonia Palmareña. 	Chrysina	aurora	Costa Rica	Alajuela			900							
INBUCR0424	C424	Chrysina optima. R. Grande de Orosí. desde Puente R. Dos Amigos hasta la Represa. Prov. Cartago. COSTA RICA. 1400m-1800m. NOV 1995. R. Delgado, de Luz. L_N_18660_562000 #6371. INBIOCRI002361338. Falta élitro izquierdo	INBIOCRI002361338			11	1995		M						R. Grande de Orosí. desde Puente R. Dos Amigos hasta la Represa.	Chrysina	optima	Costa Rica	Cartago			1400							
INBUCR0425	C425	Verde rugoso. INBIOCRI001320065. Sin cabeza.	INBIOCRI001320065																										
INBUCR0426	C426	Chrysina resplendens .COSTA RICA. Prov. Guanacaste. Cañas. P.N. Volcán Tenorio. Río Martirio. La Rejolla. 1000-1100m. 14-15 JUN 2007. J. A. Azofeifa. M. Campos. Tp. Luz  Mercurio. L_N_292650_422850 #91628. Sin élitros. Sin cabeza. INB0004090510 INBIOCRI COSTA RICA. Un élitro está en un vial con desecante.	INB0004090510		14	6	2007		F						Cañas. P.N. Volcán Tenorio. Río Martirio. La Rejolla.	Chrysina	resplendens	Costa Rica	Guanacaste			1000							
INBUCR0431	C431	Chrysina aurigans. Det: A. Solís. COSTA RICA. Prov. Alajuela, Upala, Bijagua. P.N. Volcán Tenorio. Alberg. Heliconias. Send. Heliconias. 700 m. 13 NOV 2001. A. López. T. de Luz L_N_299100_422600 #65610. INB00033997038 INBIOCRI COSTA RICA. Tiene únicamente la parte superior del élitro derecho.	INB0003397038		13	11	2001		F						Upala, Bijagua. P.N. Volcán Tenorio. Alberg. Heliconias. Send. Heliconias.	Chrysina	aurigans	Costa Rica	Alajuela			700							
INBUCR0432	C432	Chrysina aurigans. Det: A. Solís. COSTA RICA. Prov. Guanacaste.  Liberia, P. N. Guanacaste, Estación Mengo, Bosque Primario. 1000 m. 18 JUN 1987. Janzen. Manual (red, libre) L_N_322740_375198 #52599. INB0003355003	INB0003355003		18	6	1987		F						Liberia, P. N. Guanacaste, Estación Mengo, Bosque Primario.	Chrysina	aurigans	Costa Rica	Guanacaste			1000							
INBUCR0433	C433	Chrysina cupreomarginata. Det: A. Solís. COSTA RICA. Prov San José. Pérez Zeledón. Estación Santa Elena. 1600 m. 21-29 JUL 1999. J. Rodríguez. de Luz L_S_373000_507500 #57317. INB00031565546 INBIOCRI COSTA RICA. Falta élitro izquierdo. 	INB0003165546		21	7	1999		F						Pérez Zeledón. Estación Santa Elena.	Chrysina	cupreomarginata	Costa Rica	San José			1600							
INBUCR0434	C434	Chrysina luteomarginata. Det: A. Solíz. COSTA RICA. Prov. Limón, R. B. Hitoy Cerere, Valle La Estrella, Calavera Danta, 370 m. 13 de OCT 2004, B. Gamboa, D. Briceño, M. Moraga, Y. Cárdenas. Tp Luz L_S_398950_562350 #78493. INB0003888481 INBIOCRI COSTA RICA. Sin élitros. 	INB0003888481		13	10	2004		M						R. B. Hitoy Cerere, Valle La Estrella, Calavera Danta,	Chrysina	luteomarginata	Costa Rica	Limón			370							
INBUCR0435	C435	Chrysina limbata. COSTA RICA. Prov. Cartago. Tayutic, Platanillo. 980-1000 m. 15 de Nov 2002, Rocío Vives. Manual (Aplastado sobre la calle). L. N. 199600 585500 #72176. INB0003554368 INBIOCRI COSTA RICA. Falta élitro izquierdo	INB0003554368		15	11	2002		M						Tayutic, Platanillo.	Chrysina	limbata	Costa Rica	Puntarenas			980							
INBUCR0436	C436	COSTA RICA. Prov. Alajuela. Guatuso. P.N. Volcán Tenorio. Punto 4: Cerro Montezuma. 1510 m. 27 AGO 2008. INB0004169209 INBIOCRI COSTA RICA .	INB0004169209			8	2008		M						Guatuso. P.N. Volcán Tenorio. Punto 4: Cerro Montezuma.	Chrysina	boucardi	Costa Rica	Alajuela			1510							
		sin especimen, solo etiqueta. Est. Pitilla, 700 m. 9 km S Sta. Cecilia, P. N. Guanacaste, Prov. Guan. COSTA RICA. P. Ríos, Set 1991, L-n-330200, 880200	INBIOCRI000601110			9	1991											Costa Rica	Guanacaste			700							
